actual,predicted
22936,25033.839645398315
21952,104355.52508057834
23212,42993.84821051874
24728,42650.29333895733
31026,23396.80635848527
21930,42650.29333895733
25087,42993.84821051874
26956,23101.136855583492
22799,67640.87593558966
23485,36357.94180404379
20927,96267.93264217008
30232,23253.16848250277
24273,88139.98809486395
20084,23586.343823503154
23703,42650.29333895733
24077,164880.31853096894
28825,36024.68696644261
24254,64364.26418702718
23507,88139.98809486395
22018,23071.7863829007
21467,42650.29333895733
387399,155506.7787979951
24192,42650.29333895733
21426,23576.358694324266
20276,23376.18346746728
20320,23377.190862748295
31017,104355.52508057834
23830,134428.28501684451
26969,67640.87593558966
21133,25078.5984471796
22262,129067.33516622696
22253,25052.222839503305
14144,137492.9126586017
22123,42650.29333895733
20917,23527.9470084475
24209,25078.5984471796
24415,25078.5984471796
22701,24961.76102557457
29548,36000.694452753676
27182,23423.99323667696
23932,25033.839645398315
25234,74006.11335522632
19233,23243.538115944677
29362,25078.5984471796
28348,116433.02274043864
24669,104355.52508057834
25147,23512.393157075636
24470,109241.14812971065
24104,25709.06314785333
25296,25033.839645398315
21775,109241.14812971065
24613,134423.48012581354
23874,42650.29333895733
22278,24949.70420880442
25125,23576.358694324266
16936,668041.7607705094
2377564,1689837.3329737005
20402,1553381.8419816685
24679,25078.5984471796
22605,68872.1820679659
2381390,1689837.3329737005
19831,23120.359455785063
23803,23120.359455785063
23049,33900.552786950815
27577,23586.996456163382
22682,42650.29333895733
22658,36000.694452753676
25405,25046.68973571484
25176,25078.5984471796
21959,51528.93723551002
24630,100127.5457707484
25643,23220.0966300362
28639,134423.48012581354
23486,152287.31706391304
20819,23517.309246608387
25037,87303.60332007248
29135,117027.61400820286
23025,24961.76102557457
22676,33822.29224620218
21084,23512.393157075636
23075,42993.84821051874
15049,131604.0181719049
22509,36357.94180404379
28810,25033.839645398315
23953,23376.53823008807
30652,129067.33516622696
1856502,231063.87084535576
22578,117027.61400820286
21026,104355.52508057834
24937,129067.33516622696
25007,109241.14812971065
34548,25046.68973571484
28590,161299.09397104286
23555,36000.694452753676
29176,26573.252229181497
21918,88139.98809486395
28440,23366.553100909186
24580,23302.587563660556
32770,1136004.1436368076
32793,68899.20920226738
30586,42650.29333895733
20642,105819.86526900883
20257,25033.839645398315
27313,256631.2778768147
29793,23482.98572508346
27848,134423.48012581354
24023,36000.694452753676
24678,36000.694452753676
2072543,1574838.0419186708
24654,24917.00222379329
30234,23386.168596646163
21311,23307.503653193307
24980,42650.29333895733
23018,24974.611115891094
23078,25046.68973571484
27905,36000.694452753676
20561,23230.775457327647
29664,42650.29333895733
23766,36000.694452753676
21884,23377.190862748295
19551,23056.148056019647
24402,26402.46785457783
20303,23165.755025492355
21186,74006.11335522632
26473,42650.29333895733
21865,42650.29333895733
19170,23057.83801408129
25767,729575.5785434279
24865,23512.393157075636
22655,36000.694452753676
24217,137721.30691743724
22976,25078.5984471796
22113,150224.58304896284
30288,23576.358694324266
17570,23273.23709097776
25436,23849.010047549596
22593,98167.75971311817
22264,88139.98809486395
21381,25078.5984471796
27500,104355.52508057834
24227,129067.33516622696
21660,23111.528754905827
23653,129067.33516622696
21368,23522.378286254523
27683,132727.56033130654
24852,95092.97388915552
28805,129067.33516622696
21012,23366.553100909186
22876,36000.694452753676
24233,134423.48012581354
16453,23961.766003896893
46381,42650.29333895733
26371,24005.717478059327
22135,23366.553100909186
26971,25066.541630409447
28733,120156.62800372763
23442,23522.378286254523
30308,42650.29333895733
1219064,120156.62800372763
25871,23302.587563660556
22295,25033.839645398315
26714,42650.29333895733
21640,67710.63906860951
24408,25078.5984471796
22597,23243.538115944677
22761,36000.694452753676
19777,23312.57269283944
23582,42993.84821051874
20395,23423.99323667696
28137,129067.33516622696
25204,24894.22313607108
19850,42650.29333895733
21274,88139.98809486395
29253,42650.29333895733
28112,81007.42535296304
18509,28742.520033615023
1177545,129067.33516622696
21865,36000.694452753676
23642,23299.810034222406
25100,112851.79818051256
938017,164880.31853096894
20841,42650.29333895733
34818,132727.56033130654
22487,393645.2187906043
32037,28742.520033615023
27360,25091.448537496122
25962,109241.14812971065
20362,23120.359455785063
23574,25033.839645398315
23353,25078.5984471796
21295,162995.01376554987
23998,63867.4679008549
24444,25078.5984471796
20636,23042.091724520335
19624,23312.979462982883
22211,42650.29333895733
20377,36000.694452753676
23937,25721.913238169855
21067,23132.441313169034
20669,23243.538115944677
21834,42993.84821051874
22978,139188.83245310874
30987,23677.338372304537
24087,25078.5984471796
19032,25033.839645398315
22750,25046.68973571484
24011,109241.14812971065
23009,137721.30691743724
23897,29101.035276551054
22900,36024.68696644261
20377,23302.587563660556
22420,104355.52508057834
24695,102426.40613620481
29895,86115.03318641461
21943,23586.996456163382
19970,132648.55972615306
20876,84163.83597424332
23240,24917.00222379329
18870,42993.84821051874
28918,129067.33516622696
29863,42650.29333895733
23303,43351.09556180886
23176,25078.5984471796
22691,112851.79818051256
29559,36000.694452753676
22050,132727.56033130654
20761,36024.68696644261
24432,25096.981641284587
