actual,predicted
22936,24995.2744665195
21952,126468.83947583947
23212,35837.81650135257
24728,35837.81650135257
31026,23303.006666666668
21930,35837.81650135257
25087,35837.81650135257
26956,23303.006666666668
22799,100113.71875
23485,35837.81650135257
20927,126468.83947583947
30232,23303.006666666668
24273,126468.83947583947
20084,23303.006666666668
23703,35837.81650135257
24077,126468.83947583947
28825,35837.81650135257
24254,100113.71875
23507,126468.83947583947
22018,23303.006666666668
21467,35837.81650135257
387399,121757.75714285714
24192,35837.81650135257
21426,23303.006666666668
20276,23303.006666666668
20320,23303.006666666668
31017,126468.83947583947
23830,126468.83947583947
26969,100113.71875
21133,24995.2744665195
22262,126468.83947583947
22253,24995.2744665195
14144,126468.83947583947
22123,35837.81650135257
20917,23303.006666666668
24209,24995.2744665195
24415,24995.2744665195
22701,24995.2744665195
29548,35837.81650135257
27182,23303.006666666668
23932,24995.2744665195
25234,126468.83947583947
19233,23303.006666666668
29362,24995.2744665195
28348,126468.83947583947
24669,126468.83947583947
25147,23303.006666666668
24470,100113.71875
24104,24995.2744665195
25296,24995.2744665195
21775,100113.71875
24613,126468.83947583947
23874,35837.81650135257
22278,24995.2744665195
25125,23303.006666666668
16936,946491.4666666667
2377564,1660703.125
20402,1310669.6666666667
24679,24995.2744665195
22605,100113.71875
2381390,1660703.125
19831,23303.006666666668
23803,23303.006666666668
23049,44336.515625
27577,23303.006666666668
22682,35837.81650135257
22658,35837.81650135257
25405,24995.2744665195
25176,24995.2744665195
21959,35837.81650135257
24630,126468.83947583947
25643,23303.006666666668
28639,126468.83947583947
23486,100113.71875
20819,23303.006666666668
25037,126468.83947583947
29135,126468.83947583947
23025,24995.2744665195
22676,44336.515625
21084,23303.006666666668
23075,35837.81650135257
15049,126468.83947583947
22509,35837.81650135257
28810,24995.2744665195
23953,23303.006666666668
30652,126468.83947583947
1856502,126468.83947583947
22578,126468.83947583947
21026,126468.83947583947
24937,126468.83947583947
25007,100113.71875
34548,24995.2744665195
28590,126468.83947583947
23555,35837.81650135257
29176,29635.16417910448
21918,126468.83947583947
28440,23303.006666666668
24580,23303.006666666668
32770,1196527.8181818181
32793,100113.71875
30586,35837.81650135257
20642,126468.83947583947
20257,24995.2744665195
27313,32466.083333333332
29793,25274.01818181818
27848,126468.83947583947
24023,35837.81650135257
24678,35837.81650135257
2072543,1676235.0967741935
24654,24995.2744665195
30234,23303.006666666668
21311,23303.006666666668
24980,35837.81650135257
23018,24995.2744665195
23078,24995.2744665195
27905,35837.81650135257
20561,23303.006666666668
29664,35837.81650135257
23766,35837.81650135257
21884,23303.006666666668
19551,23303.006666666668
24402,25012.125
20303,23303.006666666668
21186,126468.83947583947
26473,35837.81650135257
21865,35837.81650135257
19170,23303.006666666668
25767,1310669.6666666667
24865,23303.006666666668
22655,35837.81650135257
24217,126468.83947583947
22976,24995.2744665195
22113,126468.83947583947
30288,23303.006666666668
17570,23303.006666666668
25436,23303.006666666668
22593,126468.83947583947
22264,126468.83947583947
21381,24995.2744665195
27500,126468.83947583947
24227,126468.83947583947
21660,23303.006666666668
23653,126468.83947583947
21368,23303.006666666668
27683,126468.83947583947
24852,126468.83947583947
28805,126468.83947583947
21012,23303.006666666668
22876,35837.81650135257
24233,126468.83947583947
16453,23303.006666666668
46381,35837.81650135257
26371,23303.006666666668
22135,23303.006666666668
26971,24995.2744665195
28733,126468.83947583947
23442,23303.006666666668
30308,35837.81650135257
1219064,126468.83947583947
25871,23303.006666666668
22295,24995.2744665195
26714,35837.81650135257
21640,100113.71875
24408,24995.2744665195
22597,23303.006666666668
22761,35837.81650135257
19777,23303.006666666668
23582,35837.81650135257
20395,23303.006666666668
28137,126468.83947583947
25204,24995.2744665195
19850,35837.81650135257
21274,126468.83947583947
29253,35837.81650135257
28112,126468.83947583947
18509,30937.164705882355
1177545,126468.83947583947
21865,35837.81650135257
23642,23303.006666666668
25100,126468.83947583947
938017,126468.83947583947
20841,35837.81650135257
34818,126468.83947583947
22487,126468.83947583947
32037,30937.164705882355
27360,24995.2744665195
25962,100113.71875
20362,23303.006666666668
23574,24995.2744665195
23353,24995.2744665195
21295,126468.83947583947
23998,35837.81650135257
24444,24995.2744665195
20636,23303.006666666668
19624,23303.006666666668
22211,35837.81650135257
20377,35837.81650135257
23937,24995.2744665195
21067,23303.006666666668
20669,23303.006666666668
21834,35837.81650135257
22978,126468.83947583947
30987,23303.006666666668
24087,24995.2744665195
19032,24995.2744665195
22750,24995.2744665195
24011,100113.71875
23009,126468.83947583947
23897,30937.164705882355
22900,35837.81650135257
20377,23303.006666666668
22420,126468.83947583947
24695,126468.83947583947
29895,126468.83947583947
21943,23303.006666666668
19970,126468.83947583947
20876,126468.83947583947
23240,24995.2744665195
18870,35837.81650135257
28918,126468.83947583947
29863,35837.81650135257
23303,35837.81650135257
23176,24995.2744665195
22691,126468.83947583947
29559,35837.81650135257
22050,126468.83947583947
20761,35837.81650135257
24432,24995.2744665195
18380,35837.81650135257
28847,126468.83947583947
21855,23303.006666666668
32897,126468.83947583947
20572,23303.006666666668
22669,23303.006666666668
30665,23303.006666666668
20660,23303.006666666668
18499,126468.83947583947
32494,121757.75714285714
31527,126468.83947583947
19578,35837.81650135257
28099,35837.81650135257
21444,23303.006666666668
24491,24995.2744665195
21547,35837.81650135257
23282,24995.2744665195
22769,126468.83947583947
22426,126468.83947583947
25220,23303.006666666668
30366,35837.81650135257
22997,24995.2744665195
21609,35837.81650135257
2950760,3041316.5714285714
21328,126468.83947583947
37915,35837.81650135257
25710,35837.81650135257
24166,24995.2744665195
36403,126468.83947583947
24975,126468.83947583947
21995,35837.81650135257
22977,126468.83947583947
23037,35837.81650135257
2443475,126468.83947583947
20850,126468.83947583947
23993,126468.83947583947
19158,1196527.8181818181
18287,35837.81650135257
20283,126468.83947583947
22109,126468.83947583947
21238,35837.81650135257
19327,126468.83947583947
14966,126468.83947583947
21473,23303.006666666668
26200,23303.006666666668
30981,100113.71875
20348,23303.006666666668
22994,126468.83947583947
20656,23303.006666666668
22955,24995.2744665195
22375,126468.83947583947
21714,35837.81650135257
17867,23303.006666666668
23136,126468.83947583947
21609,24995.2744665195
21762,23303.006666666668
25091,23303.006666666668
24435,126468.83947583947
22017,23303.006666666668
22035,23303.006666666668
24306,35837.81650135257
30155,126468.83947583947
20879,23303.006666666668
24269,35837.81650135257
23431,24995.2744665195
25293,24995.2744665195
29877,24995.2744665195
25543,24995.2744665195
17814,1196527.8181818181
30301,126468.83947583947
20493,35837.81650135257
22248,126468.83947583947
25981,24995.2744665195
29468,126468.83947583947
17337,121757.75714285714
22029,22078.157894736843
23397,23303.006666666668
23199,23303.006666666668
20782,35837.81650135257
30462,23303.006666666668
21209,23303.006666666668
29702,24995.2744665195
16485,24995.2744665195
29243,100113.71875
22727,24995.2744665195
35006,126468.83947583947
23862,35837.81650135257
23111,35837.81650135257
18801,23303.006666666668
24169,35837.81650135257
44085,126468.83947583947
23199,126468.83947583947
23977,24995.2744665195
26392,24995.2744665195
28981,35837.81650135257
29736,24995.2744665195
20805,23303.006666666668
22016,24995.2744665195
26542,35837.81650135257
18748,126468.83947583947
22005,23303.006666666668
25126,24995.2744665195
24307,35837.81650135257
22930,23303.006666666668
24250,25012.125
24149,126468.83947583947
21519,23303.006666666668
41319,121757.75714285714
24153,24995.2744665195
23302,23303.006666666668
23710,126468.83947583947
27010,35837.81650135257
27466,35837.81650135257
23032,23303.006666666668
20978,23303.006666666668
25107,35837.81650135257
23600,24995.2744665195
25092,24995.2744665195
28961,35837.81650135257
43964,24995.2744665195
20903,126468.83947583947
22317,35837.81650135257
21057,35837.81650135257
13335,23303.006666666668
21270,23303.006666666668
21478,35837.81650135257
32670,25274.01818181818
30000,35837.81650135257
29502,24995.2744665195
24083,23303.006666666668
22335,35837.81650135257
41486,126468.83947583947
23056,126468.83947583947
21070,23303.006666666668
21368,23303.006666666668
21564,126468.83947583947
18220,126468.83947583947
20265,23303.006666666668
35084,23303.006666666668
23931,35837.81650135257
17388,126468.83947583947
23668,35837.81650135257
30868,24995.2744665195
19830,23303.006666666668
21619,35837.81650135257
19638,24995.2744665195
17970,126468.83947583947
22737,23303.006666666668
29988,126468.83947583947
23920,24995.2744665195
21966,126468.83947583947
19324,23303.006666666668
1415420,1196527.8181818181
21978,24995.2744665195
30415,24995.2744665195
17651,126468.83947583947
26279,23303.006666666668
23379,35837.81650135257
29085,35837.81650135257
19742,35837.81650135257
20650,35837.81650135257
24686,126468.83947583947
24350,126468.83947583947
30056,35837.81650135257
21361,23303.006666666668
23772,35837.81650135257
18281,35837.81650135257
22301,126468.83947583947
24332,35837.81650135257
25713,126468.83947583947
22468,24995.2744665195
25472,35837.81650135257
25366,35837.81650135257
21884,35837.81650135257
25183,35837.81650135257
22949,35837.81650135257
23870,35837.81650135257
30790,29635.16417910448
21615,126468.83947583947
29980,35837.81650135257
24521,35837.81650135257
23471,23303.006666666668
22191,126468.83947583947
21256,121757.75714285714
26230,23303.006666666668
22590,126468.83947583947
22306,23303.006666666668
23319,24995.2744665195
25066,23303.006666666668
20667,23303.006666666668
